links_bchighwaycam,links_imageDisplay,links_imageThumbnail,links_replayTheDay,id,highway_number,highway_locationDescription,camName,caption,credit,orientation,latitude,longitude
https://images.drivebc.ca/bchighwaycam/pub/html/www/2.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/2.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/2.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=2,2,5,Coquihalla,Coquihalla Great Bear Snowshed - N,"Highway 5 at the Great Bear Snowshed, looking north.",,N,49.596374 ,-121.159832 
https://images.drivebc.ca/bchighwaycam/pub/html/www/5.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/5.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/5.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=5,5,3,,Kootenay Pass,"Highway 3 at Salmo Creston Highway Summit, looking east.",,E,49.058727 ,-117.040771 
https://images.drivebc.ca/bchighwaycam/pub/html/www/6.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/6.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/6.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=6,6,16,,Smithers - N,"Highway 16 at Main Street in Smithers, looking north.",,N,54.781926 ,-127.166540 
https://images.drivebc.ca/bchighwaycam/pub/html/www/7.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/7.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/7.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=7,7,1,Fraser Valley,Cole Road - E,"Highway 1 at Cole Road Rest Area, looking east.",,E,49.057500 ,-122.177000 
https://images.drivebc.ca/bchighwaycam/pub/html/www/8.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/8.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/8.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=8,8,1,Vancouver Island,Malahat Drive - N,"Highway 1 at South Shawnigan Lake Road, looking north.",,N,48.561231 ,-123.569743 
https://images.drivebc.ca/bchighwaycam/pub/html/www/9.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/9.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/9.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=9,9,19,,Nanaimo Parkway,"Highway 19 at College Drive, looking north.",,N,49.153005 ,-123.971960 
https://images.drivebc.ca/bchighwaycam/pub/html/www/10.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/10.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/10.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=10,10,97,Northern Region,South Taylor Hill - N,"Highway 97 about 20 km south of Fort St. John at South Taylor Hill, looking north.",,N,56.094910 ,-120.642756 
https://images.drivebc.ca/bchighwaycam/pub/html/www/11.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/11.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/11.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=11,11,1,Trans Canada Highway,Revelstoke,"Highway 1 at east end of Columbia River Bridge in Revelstoke, looking eastbound.",,E,51.007261 ,-118.218330 
https://images.drivebc.ca/bchighwaycam/pub/html/www/12.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/12.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/12.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=12,12,1,Trans Canada Highway,Three Valley Gap - E,"Highway 1 about 20 km west of Revelstoke near Three Valley Gap, looking east.",,E,50.927658 ,-118.474685 
https://images.drivebc.ca/bchighwaycam/pub/html/www/13.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/13.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/13.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=13,13,99,Peace Arch Border Crossing,Peace Arch,"Highway 99 at Peace Arch border crossing, looking north.",,N,49.001268 ,-122.756658 
https://images.drivebc.ca/bchighwaycam/pub/html/www/14.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/14.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/14.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=14,14,99,Peace Arch Border Crossing,Beach Road - N,"Highway 99 at Canada/USA border, looking north.",,N,49.007404 ,-122.757891 
https://images.drivebc.ca/bchighwaycam/pub/html/www/15.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/15.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/15.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=15,15,15,Canada/US Border Crossing,Pacific Border Crossing,"Pacific Crossing at the Canada/USA border, looking north.",,N,49.003040 ,-122.735633 
https://images.drivebc.ca/bchighwaycam/pub/html/www/16.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/16.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/16.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=16,16,15,Canada/US Border Crossing,Second Avenue - N,"Pacific Crossing at 2 Avenue, looking north.",,N,49.006636 ,-122.735080 
https://images.drivebc.ca/bchighwaycam/pub/html/www/17.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/17.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/17.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=17,17,99,Lions Gate Bridge/Marine Drive,Causeway,"Stanley Park Causeway at Stanley Park entrance, looking north.",'* Views may switch between north and south for monitoring of traffic flow.<br> Counterflow operations in effect for Lions Gate Bridge -<a href="https://www2.gov.bc.ca/gov/content?id=859F1B6A4CD74BBFA27C67A438A3B899" target="_blank">read more here</a>.<br>',N,49.295792 ,-123.136640 
